original_name,accommodation_name,host_name,date,language,review_sentiment,cleanliness,location,value_for_money,positive_aspects,negative_aspects,relevant_insights,short_summary
FLH Porto Homey Flat with Balcony,FLH Porto Homey Flat with Balcony,Feels Like Home,2022-10-27,en,Mixto,No mencionado,No mencionado,No mencionado,"['Beautiful and well-equipped space', 'Working washer/dryer']","['Poor management and maintenance', 'Broken items in the apartment', 'No shower soap or shampoo/conditioner provided', 'Inconvenient check-in process']","['Management should improve maintenance and provide basic toiletries', 'Consider a more convenient check-in process for guests']",The space is beautiful but suffers from poor management and maintenance issues that detract from the overall experience.
Oporto FR Cativo Flat,Oporto FR Cativo Flat,Fábio,2015-05-18,en,Positivo,No mencionado,"Bien ubicado, a 5 minutos a pie de la estación de metro y cerca del casco antiguo.",No mencionado,"['Fábio es un buen anfitrión y superó las expectativas.', 'El apartamento ha sido recientemente renovado a un alto estándar.', 'Bien equipado con utensilios de cocina.', 'Wi-Fi y aire acondicionado funcionaron bien.']","['El baño es pequeño.', 'La presión del agua no es equivalente a una ducha de potencia.', 'El colchón es duro y puede requerir adaptación.']","['El apartamento es adecuado para una persona en el baño a la vez.', 'El apartamento no se calienta demasiado durante el día.', 'Hay buenas opciones de restaurantes y supermercados en la zona.']","El apartamento es cómodo, bien ubicado y el anfitrión es muy atento, aunque el baño es pequeño y el colchón puede ser duro."
Terrace Duplex in Porto,Terrace Duplex in Porto,João,2017-10-12,en,Mixto,No mencionado,"Great location, close to metro station",No mencionado,"['Great location', 'Helpful host', 'Nice cafe below', 'Spacious flat', 'Rooftop area']","['Shower curtain issue', 'Lack of basic cooking supplies', 'Uncomfortable sofa bed mattress', 'Need for maintenance']","['Consider providing basic cooking supplies', 'Replace the sofa bed mattress for better comfort', 'Address minor maintenance issues']","The flat has a great location and helpful host, but there are issues with the shower curtain, lack of cooking supplies, and an uncomfortable sofa bed."
Belomonte River View Apartments 1,Belomonte River View Apartments 1,Belomonte River View Apartments,2022-06-29,en,Mixto,No mencionado,"Bien ubicada, fácil acceso a los lugares de interés",No mencionado,"['Vistas increíbles del río Douro', 'Gran anfitrión', 'Buena ubicación para restaurantes', 'No necesitó transporte público']","['Ruido del tráfico en las habitaciones', 'Acceso al medio baño incómodo']","['Considerar insonorizar las habitaciones', 'Mejorar el acceso al medio baño']","Disfrutamos de las vistas y la ubicación, pero hubo ruido del tráfico y el acceso al medio baño fue incómodo."
Pinheiro Cardoso House - Room 4,Pinheiro Cardoso House - Room 4,Luís,2022-10-09,pt,Negativo,No mencionado,Inspira pouca confiança,Há muitos sítios melhores e mais em conta pela qualidade,[],"['Chave do quarto não estava na caixa de segurança', 'Recepção rude e desinformada', 'Quarto não corresponde às fotografias', 'Poliban mal vedado causando alagamento', 'Sem água quente', 'Falta de resposta do anfitrião']","['Melhorar a comunicação e atendimento na recepção', 'Verificar a limpeza e manutenção dos quartos antes do check-in', 'Garantir que as informações sobre a localização sejam claras e precisas']","Experiência negativa devido à falta de confiança na localização, problemas com a chave, atendimento rude e falta de água quente."
Marias River Apartment,Marias River Apartment,Nuno,2022-05-25,pt,Mixto,No mencionado,Ótima,No mencionado,"['Delicioso vinho do porto', 'Apartamento bonito', 'Cama confortável', 'Boa comunicação', 'Limpeza durante estadias longas']","['Banheira desativada', 'Falta de iluminação', 'Falta de ventilação', 'Acústica do local']","['Recomendado para estadias curtas', 'Falta de área de serviço para longas estadias']","O apartamento é bonito e confortável, mas tem problemas de iluminação e acústica, sendo mais adequado para estadias curtas."
New! La vie en rose by Upperground,New! La vie en rose by Upperground,Upperground,2022-11-04,en,Mixto,No mencionado,No mencionado,Aceptable,"['Bien equipado en la cocina', 'Buena comunicación con los anfitriones']","['Ducha se desborda', 'No hay calefacción', 'Falta de productos de limpieza', 'No hay papelera o instrucciones para deshacerse de la basura', 'Revisión negativa de inquilinos anteriores encontrada', 'Escaleras pueden ser un riesgo para niños', 'Lámparas sin bombillas']","['Revisar el diseño de la ducha', 'Proveer calefacción adecuada', 'Incluir productos de limpieza en la cocina', 'Asegurarse de que no haya reseñas negativas visibles entre huéspedes', 'Considerar la seguridad de las escaleras', 'Actualizar las fotos para reflejar el estado real de las lámparas']","El apartamento es aceptable por su precio, pero tiene varios problemas que deben ser atendidos."
Casas Brancas w/ Balcony & free private parking by LovelyStay,Casas Brancas w/ Balcony & free private parking by LovelyStay,LovelyStay,2022-08-12,es,Mixto,No mencionado,"Interesante y tranquila, pero con áreas problemáticas cercanas.",Vale la pena por lo que ofrece a nivel de calidad/precio.,"['Apartamento bien distribuido', 'Incluye parking', 'Buena comunicación con la empresa', 'Zona tranquila y segura']","['Recogida de llaves en el centro de Porto', 'Falta de información sobre la recogida de llaves en el anuncio']","['Considerar un locker con código para la recogida de llaves', 'Incluir información sobre la recogida de llaves en el anuncio']","Apartamento cómodo con buena relación calidad-precio, pero con inconvenientes en la recogida de llaves."
GuestReady - Beige Glamour,GuestReady - Beige Glamour,GuestReady,2017-06-22,fr,Positivo,No mencionado,Acceso fácil al transporte público y a servicios cercanos.,Muy buen rapport qualité-prix.,"['Superbement décoré', ""Équipements complets dans l'appartement"", 'Confort du lit', 'Balcon agréable', ""Proximité d'un supermarché et de commerces""]","[""Bruit des bus en bas de l'appartement"", 'Manque de bols pour le petit-déjeuner']","['Les fenêtres fermées atténuent le bruit des bus.', 'Utiliser des tupperwares en cas de manque de vaisselle.']","Un séjour de 4 jours très agréable avec un excellent rapport qualité-prix, malgré quelques petits désagréments."
Feel Porto Doc Townhouse,Feel Porto Doc Townhouse,Rui,2019-05-13,en,Positivo,Limpio,Céntrico y tranquilo,No mencionado,"['Limpio y brillante', 'Bien equipado', 'Buena comunicación con el anfitrión', 'Camas cómodas', 'Excelente aire acondicionado']","['Falta de privacidad en los baños', 'Asientos incómodos en la mesa de comedor', 'Falta de estante en la ducha', 'Falta de espejo de cuerpo entero']","['Considerar cortinas o persianas para mayor privacidad', 'Proveer sillas cómodas para la mesa de comedor', 'Añadir estante en la ducha', 'Incluir un espejo de cuerpo entero en el pasillo']","Disfrutamos de nuestra estancia, aunque hubo problemas de privacidad en los baños y asientos incómodos en la mesa."
