Id,SentimientoGeneral,AspectosPositivos,AspectosNegativos,Dificultad,RendimientoTecnico,BugsProblemas,Jugabilidad,HistoriaContenido,PrecioValor,InsightPrincipal,RecomendadoOriginal,RecomendadoBinario
17660,Positivo,"['Detalles y vida en la ciudad', 'Libertad en las misiones', 'Historia y personajes bien desarrollados', 'Innovaciones en la jugabilidad']","['Dificultad a veces desequilibrada', 'Falta de cierre en algunas misiones']",Equilibrado,Estable FPS con GTX 1070,['No mencionado'],Mecánicas variadas y exploración divertida,Temas profundos y bien ejecutados,Vale el precio completo por la experiencia,"Cyberpunk 2077 ofrece una experiencia única y rica en detalles, a pesar de algunos problemas menores.",Recomendado,1
7187,Negativo,"['Gráficos sólidos', 'Buena atmósfera', 'Música y banda sonora']","['Estado del juego decepcionante', 'Falta de mecánicas', 'Historia poco interesante', 'Repetitividad en misiones', 'Limitadas opciones de personalización']",No Mencionado,"Rendimiento estable al principio, pero con bugs que se volvieron más frecuentes","['Glitches gráficos', 'Animaciones extrañas', 'Texturas faltantes', 'Coches desapareciendo', 'Misiones sin poder completar']","Mecánicas y controles aceptables, pero falta de contenido significativo","Historia decepcionante hasta ahora, con misiones principales poco interesantes","No recomendado, se sugiere esperar un año para mejoras",Cyberpunk 2077 se siente incompleto y por debajo de los estándares de CDPR.,No recomendado,0
4187,Negativo,"['Gráficos sólidos', 'Buena atmósfera', 'Música y banda sonora']","['Bugs frecuentes y severos', 'Historia poco interesante', 'Mecánicas faltantes', 'Contenido repetitivo']",No Mencionado,Rendimiento estable con algunos problemas de bugs,"['Glitches gráficos', 'Animaciones extrañas', 'Texturas faltantes', 'Coches desapareciendo', 'Quests no finalizables']","Mecánicas y controles aceptables, pero falta de opciones de personalización","Historia decepcionante y no interesante, con misiones principales arruinadas por trailers",No Mencionado,El juego se siente incompleto y por debajo de los estándares de CDPR.,No recomendado,0
5415,Negativo,"['Hermoso entorno', 'Gran personalización', 'Momentos de emoción']","['Diseño de jefes frustrante', 'Sensación de falta de recompensa', 'Dificultad desproporcionada', 'Reutilización de enemigos y jefes']",Difícil,Problemas de rendimiento en la versión de PC,"['Caballo muere sin razón', 'Barras de salud de enemigos se rellenan extrañamente']",Mecánicas frustrantes y poco satisfactorias,Historia interesante con personajes fascinantes,No mencionado,"El juego es frustrante y poco gratificante, a pesar de algunos buenos elementos.",No recomendado,0
7751,Negativo,"['Combat responsive', 'Diverse enemy weapon and ability variety', 'Geographically impressive world', 'Creative character design']","['Poor design decisions', 'Repetitive content', 'Unbalanced weapon classes', 'Inconsistent magic', 'Bad camera', 'Technical issues', 'Boring quests', 'Disappointing story']",Equilibrado,Graphically antiquated with shader compilation stutter and disappointing framerates,"['Crashing', 'Cheating', 'Long hit registration times', 'Disconnects']",Missed opportunity with unbalanced combat and repetitive gameplay,Shockingly conservative with recycled plot points and less emotional investment,No mencionado,Elden Ring is a missed opportunity that fails to innovate and deliver a compelling story.,No recomendado,0
16503,Mixto,"['Historia interesante', 'Personajes bien desarrollados', 'Mundo detallado', 'Mecánicas RPG variadas', 'Banda sonora destacada']","['Sistema de lifepaths decepcionante', 'Bugs presentes', 'IA de NPCs deficiente', 'Sistema policial insatisfactorio']",No Mencionado,"Algunos bugs, pero sin caídas de FPS significativas y estabilidad aceptable.","['Bugs que rompen la inmersión', 'Problemas de IA de NPCs', 'Desaparición de vehículos a alta velocidad']","Mecánicas de juego variadas y entretenidas, pero con problemas de inmersión.","Historia cautivadora y personajes interesantes, comparable a otros grandes juegos.",No mencionado,"A pesar de sus fallos, el juego ofrece una experiencia rica en historia y personajes.",Recomendado,1
7805,Negativo,"['Gráficos', 'Banda sonora', 'Actuación de Keanu Reeves']","['IA de NPCs deficiente', 'Mecánicas de juego simplificadas', 'Falta de contenido prometido', 'Personalización de personajes limitada', 'Mundo poco inmersivo']",No Mencionado,Problemas de optimización,"['NPCs desaparecen', 'IA de policías deficiente', 'Problemas con el sistema de patrullas']",Mecánicas de juego lineales y simplificadas,"Historia y misiones decepcionantes, falta de impacto de las decisiones del jugador",No justificado por la cantidad de contenido,El juego no cumple con las expectativas y se siente incompleto.,No recomendado,0
13941,Mixto,"['fenomenal y rico combate', 'hermoso mundo lleno de secretos', 'diseño de niveles fantástico', 'oportunidad de explorar diferentes estilos de combate', 'alto techo de habilidad', 'contenido opcional masivo']","['problemas de rendimiento', 'caídas de frames en zonas de carga', 'no es para jugadores casuales']",Difícil,"El juego tiene problemas de rendimiento en zonas de carga, pero funciona bien en combate pesado.",['caídas de frames en zonas de carga'],Las mecánicas de combate son desafiantes y recompensan la exploración y la observación.,"La historia es oscura y retorcida, presentada de manera que el jugador debe deducirla a través de descripciones de objetos.",El juego es considerado de gran valor y mejor que otros títulos AAA en su estado actual.,"Elden Ring es un juego fenomenal que combina lo mejor de los títulos anteriores de FromSoftware, aunque presenta problemas técnicos que afectan la experiencia.",Recomendado,1
12814,Mixto,"['fenomenal y rico combate', 'hermoso mundo lleno de secretos', 'diseño de niveles fantástico', 'múltiples estilos de lucha', 'exploración recompensada', 'historia oscura y retorcida']","['problemas de rendimiento', 'caídas de frames en zonas de carga', 'no apto para jugadores casuales']",Difícil,"Problemas de rendimiento en zonas de carga, pero estable en combate intenso.",['caídas de frames en zonas de carga'],"Combate desafiante y variado, con un alto techo de habilidad.","Historia presentada de manera oscura y retorcida, con elecciones que impactan el final.","Valor sólido, mejor que otros juegos AAA en estado de lanzamiento.",Elden Ring es un juego fenomenal pero con problemas técnicos que afectan la experiencia.,Recomendado,1
13993,Mixto,"['Gráficos impresionantes', 'Variedad de estilos de juego', 'Modo foto excepcional', 'Música variada']","['Problemas de rendimiento', 'Bugs y glitches', 'Contenido secundario mal presentado', 'Falta de interactividad en el mundo']",Equilibrado,"Problemas de rendimiento y estabilidad, FPS inestables incluso en hardware potente.","['Glitches visuales', 'Personajes atrapados en objetos', 'Problemas al interactuar con el entorno']","Mecánicas variadas que permiten diferentes estilos de juego, pero con problemas en la presentación de misiones secundarias.","Historia interesante con personajes bien animados, pero con falta de profundidad en el contenido secundario.",No mencionado,"A pesar de sus fallos, el juego ofrece una experiencia única en un mundo bien diseñado.",Recomendado,1
